StartDate,EndDate,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,FreeResponse,FreqCheckSee,FreqCheckWrite,KnewAllWords,AbilityChange,Engaging,GameChange,Age,Gender,NativeLang,SecondLangYN,SecondLang,subjCode
3/28/17 17:59,3/28/17 18:02,145,TRUE,3/28/17 18:02,R_3FIJykQNvCRPWaT,anonymous,EN,"Because there were only 8 words, learning the elvish words wasn't as difficult as maybe ten or eleven words.","i barely saw ""vorg"", ""pim"" , ""minada"" and""sarp""","i often typed in ""blit"", ""frabda"", ""mog"" and ""veek""",Definitely yes,Yes,Somewhat engagin,Add pictures and/or colors ,19,Male,Yes,No,,p112
3/29/17 8:55,3/29/17 8:56,70,TRUE,3/29/17 8:56,R_Z7uHcwGSCo0Lf4l,anonymous,EN,weird pronunciation and spelling,,,Definitely yes,Yes,Somewhat engagin,more sound,19,Female,Yes,No,,p113
3/29/17 9:06,3/29/17 9:08,101,TRUE,3/29/17 9:08,R_w6ifXqvbqkUOCKB,anonymous,EN,"At first tricky, just had to memorize the words",There were long periods of time without seeing certain words,"For the most part, I got better as the game went on ",Definitely yes,Yes,Somewhat engagin,-,19,Female,Yes,No,,p114
3/29/17 10:08,3/29/17 10:12,286,TRUE,3/29/17 10:12,R_pxuxX4C2Tp9pF5f,anonymous,EN,the words were simple so it was easy. It was easiest through trial and error rather than just looking at the images. the skod-noobda area was hard for me and clate was as well. In the beginning the coin reward was a lot but then in the middle of the game it dropped as low as 15 which gave me performance anxiety and pressured me to try harder and be more attentive,i feel like i saw a lot of 'clate' and not a lot of 'hoon'. I also typed a lot of 'pim'. ,i got anxiety whenever the direction was between skod-noobda and would often type the wrong one and then fix it. there was a lot of pim and clate for typing,Probably yes,Yes,Somewhat engagin,nothing it was kind of entertaining ,18,Female,Yes,No,,p115
3/29/17 15:09,3/29/17 15:17,452,TRUE,3/29/17 15:17,R_ClES0y2D28P1VKx,anonymous,EN,"At first seemed a bit silly and fun, but by the time I was going through practice my third/fourth time, I was quite frustrated.","I can remember seeing peka, minada, gled, gorm, and frabda often. I can remember seeing dak, blit, and grah less. Whether this is true or not I am unsure.","I was often asked to type words several times in a row (especially in the practice), while other words came up less and were harder to remember. I was better at remembering the larger words (minada and frabda).",Definitely yes,Yes,Somewhat boring,I would make it less repetitive (it was somewhat engaging at first but by the end I was bored). I would also add elvish music.,18,Male,Yes,No,,p117
3/29/17 15:10,3/29/17 15:17,399,TRUE,3/29/17 15:17,R_3PG1MdVx2DV6xqF,anonymous,EN,"I thought it was going to be simple at first, I really expected to memorize them quickly, but I realized I couldn't connect these nonsense gibberish words to English. It was definitely difficult and my brain got very tired repeating the same things over and over. I also commonly forgot words I felt sure I had learned already. ","shorter words were easier to remember, like pim or blit. I couldn't remember strange long words or how even to say minada, I just remembered it started with an m sound. ","the words I was primarily tested on, I remembered easier. ",Probably yes,Yes,Very boring,,18,Female,Yes,No,,p116
3/30/17 17:56,3/30/17 17:59,192,TRUE,3/30/17 17:59,R_C45QTaxeHZbSKqJ,anonymous,EN,I definitely learned the language through repetition and trial and error. Frustrating at first but then after a while it got easier as I got the hang of it.,I did not recognize seeing any specific words over the course of the game,I typed the same 8 words the entire time,Definitely yes,Yes,Somewhat boring,"It was so long. When you get to the point of knowing all of the directions, it got boring towards the end. I couldn't wait until it was completed",20,Male,Yes,No,,p120
3/30/17 18:06,3/30/17 18:08,130,TRUE,3/30/17 18:08,R_PBbzrXzqo3xEZ3P,anonymous,EN,"At first it was confusing considering all of the words weren't actual words. But after a while of memorizing where they were on the screen and pretending they were actual names, it made it easier","For the practices, that warm up was the same but other than that I saw gled a lot ",i didnt type grah a lot but i typed gled a lot,Definitely yes,Yes,Somewhat engagin,how long it is,20,Female,Yes,No,,9119
4/3/17 15:39,4/3/17 15:41,140,TRUE,4/3/17 15:41,R_2aOHPf7u54rIxst,anonymous,EN,It was hard at first because the spelling was so different! ,,I got faster during the game! ,Definitely yes,Yes,Somewhat engagin,"Sometimes I couldn't tell where it was pointing so I was unsure if it was yeen or peka etc. 
Otherwise I liked that it made me learn them well enough before it actually let me play the game or I would have got zero every time! ",21,Female,Yes,No,,p118
4/13/17 15:54,4/13/17 15:55,83,TRUE,4/13/17 15:55,R_3KpDY7VUxDtU9GI,anonymous,EN,,,,,,,,19,Male,Yes,No,,p123
4/17/17 15:40,4/17/17 15:41,78,TRUE,4/17/17 15:41,R_1pLLcJ6tAGxOWP3,anonymous,EN,It was difficult at first but then became natural.,"I felt as if I knew, minada and pim the best",I typed PIM a lot,Definitely yes,Yes,Somewhat engagin,There were some words that were too close sounding to one another ,19,Female,Yes,No,,p121
4/17/17 15:42,4/17/17 15:44,100,TRUE,4/17/17 15:44,R_2TNnTBlL0461jyc,anonymous,EN,"it was hard at first until I related the elves' words to objects inmy life, then it was easy",Some stuck out as easier to identify/remember than others ,i messed up dak a lot because I was typing too fast,Definitely yes,Yes,Engaging,Nothing,18,Male,Yes,No,,p122
4/10/17 17:26,4/10/17 17:26,13,FALSE,4/17/17 17:26,R_2du7LbJcbhRF7n2,anonymous,EN,,,,,,,,,,,,,clock_101
4/17/17 17:47,4/17/17 17:51,231,TRUE,4/17/17 17:51,R_SB5xkeX6OlmkohP,anonymous,EN,it was interesting,some words were used more often and some were barely used,some words seemed to be thought of more during the game,Definitely yes,Yes,Somewhat engagin,I don't know if I would change it but it was frustrating to keep going back in the learning process if a perfect score was not reached,20,Female,Yes,Yes,spanish but I'm not fluent,p124
4/17/17 18:01,4/17/17 18:04,141,TRUE,4/17/17 18:04,R_1INm7Bo47vZBc9n,anonymous,EN,sometimes it was a bit difficult to remember spelling : glate vs clate. Some words were easier than others. ,"fradba, peka, and pim showed up most often. ",I would use the shorter words slightly more often,Definitely yes,Yes,Somewhat engagin,numbers or dials on the compass. more even distribution of the words. maybe hearing the words would also help,19,Female,Yes,No,,p125
4/18/17 15:43,4/18/17 15:45,112,TRUE,4/18/17 15:45,R_2ClhwVeegaRYpy3,anonymous,EN,"The words were nonsense, and I did not learn them in the long run.",I noticed that I saw some of the words more often than others.,"I noticed that I typed a few of the words more often than others, even if that direction wasn't the correct one.",Probably yes,Yes,Very boring,,18,Female,Yes,No,,p126
4/18/17 16:21,4/18/17 16:24,161,TRUE,4/18/17 16:24,R_pzpmvhWjfQiiYxj,anonymous,EN,"It was very difficult at first, it was easy to forget the newly learned words.  ","I noticed that I saw the words pim, gled, and mog very often.","I noticed typing pim, gled, and mog more often than other words. ",Definitely yes,Yes,Engaging,Reviewing the words more in the beginning. ,19,Female,Yes,No,,p127
4/18/17 16:29,4/18/17 16:32,166,TRUE,4/18/17 16:32,R_2QWGVjaRxozEjYC,anonymous,EN,It was hard at first but I learned to look at the compase with the words around it. ,If I got the word wrong it would appear more often so I would learn it.,"Clate and frabda were typed the most often in the beginning, then blit and grah towards the end",Probably yes,Yes,Engaging,make the images/background more fun!,19,Female,Yes,No,,p128
4/18/17 17:07,4/18/17 17:13,314,TRUE,4/18/17 17:13,R_SUHKfB4cu2nAiD7,anonymous,EN,"At first, it was somewhat difficult to learn them because I personally take a little while to remember where things are. It's easy for me to choose between two of them because if I know where one is, then I know which one is the right answer. So going from the memorization practice to the practice treasure hunt was hard for me. After a few practice rounds though, I finally got the hang of where all the directions were and which word went with with direction. ","about halfway through the treasure hunt, i noticed that the arrow wasn't exactly in that direction so I had to put which direction the arrow was closer to.",I felt like some of the words I typed more often than others.,Definitely yes,Yes,Engaging,nothing. I thought it was a decent game.,18,Female,Yes,No,,p129
4/19/17 9:20,4/19/17 9:26,347,TRUE,4/19/17 9:26,R_1q88Qtti4NVqYc1,anonymous,EN,"It was challenging at first, because I (of course) had no prior experience with these words. I was starting from scratch with no biases or background knowledge to help me remember faster. It was interesting to figure out what worked for when it came to learning. ","I feel like ""peka"" was rarely a logical answer; ""clate"" and ""gorm"" also felt like they didn't come up much. In terms of how often I saw them -- they only came up if I typed them, so that just had to do with which options were logical more than others. ","I feel like I was in many situations where I had to type ""mog,"" ""skod,"" ""hoon,"" and ""gled"" more than other words.",Definitely yes,Yes,Somewhat engagin,"It's quite long. I thought the points system was interesting, though I realize they could have been given based off of an algorithm.  I don't know if I'd change it -- maybe just explain it better. ",19,Female,Yes,Yes,"Started learning Spanish when I was 12 or 13, but we didn't speak this in my home regularly",p130
4/19/17 9:32,4/19/17 9:33,53,TRUE,4/19/17 9:33,R_1CCPHcw4QAkPvEc,anonymous,EN,Hard,Some were used more than others,Nothing,Probably yes,Yes,Very boring,Its annoying,18,Male,Yes,No,,p131
4/19/17 10:03,4/19/17 10:06,155,TRUE,4/19/17 10:06,R_1oA3hscXlGeF9gi,anonymous,EN,It was difficult at first and became much easier with practice.,"Some words definitely appeared more than other words. Such as Noobda, grah, and vorg.",I may have typed some of the words more than others. ,Definitely yes,Yes,Boring,,18,Male,Yes,No,,p133
4/25/17 15:56,4/25/17 15:59,165,TRUE,4/25/17 15:59,R_3rMb3TymTL7N2Jl,anonymous,EN,It was difficult at first trying to figure out ways to remember each direction but after a few practice rounds it got easier and easier until they were pretty natural.,I had trouble remembering pim and mog because they are both 3 letter words so i got them mixed up easily.,vorg i accidently typed a different key a couple times,Definitely yes,Yes,Engaging,specify that the exact direction will change and that each word represents a general direction. ,18,Female,Yes,No,,p132
4/25/17 15:59,4/25/17 16:00,101,TRUE,4/25/17 16:00,R_T0fgoQ4o246xCXn,anonymous,EN,It took a little bit to get used to the words. It helped that they were single syllable words for the most part. It made the few multi syllable words easier to remember. The single syllable words that were hard consonants were the easiest.,It seemed that the words on the right side of the compass came up more often.,The words i seemed to type the most were veek and dak.,Definitely yes,Yes,Somewhat engagin,nothing,20,Male,Yes,No,,p134
4/25/17 16:29,4/25/17 16:31,131,TRUE,4/25/17 16:31,R_1oHfCmCMvAf5QJl,anonymous,EN,It was a challenge at first but not hard after three practice runs.,veek and mog seemed to come up most often,I thought I typed veek the most,Definitely yes,Yes,Somewhat boring,The game seemed to drag on longer than it needed to but I'm not in charge so maybe you were testing for that.,19,Male,Yes,No,,p135
4/25/17 16:32,4/25/17 16:36,228,TRUE,4/25/17 16:36,R_dbd6Mr4PHbwOxLr,anonymous,EN,It was not difficult since the words were not very long. I would have remembered all of the words if they were taught in the order of the directions on the compass more. ,I tried to think of other words like the Elvish words to help me memorize each word. I also tried to memorize the words as if they were numbers on a clock so I could remember the order of the words on the compass. ,Typing the words over and over again definitely helped me remember the words better. ,Probably yes,Yes,Engaging,N/A,19,Female,Yes,Yes,Hebrew,p136
4/25/17 17:07,4/25/17 17:09,124,TRUE,4/25/17 17:09,R_VLx0Wy2iLGTzJAd,anonymous,EN,"Its all about practicing, and making sure you remember what word is in what area",I saw a lot of hoon and peka,"I feel like since hoon and peka were mostly in the practice, i used them a lot in the actual game. ",Definitely yes,Yes,Engaging,The timing made me misspell words making me get them wrong even if I knew them,19,Female,Yes,Yes,Spanish,p137
4/26/17 9:31,4/26/17 9:33,90,TRUE,4/26/17 9:33,R_a9GLoGfhX8DyHVT,anonymous,EN,It took a few minutes to learn but once I knew them it was an easy task.,"I saw the words pim, gorm, and blit a lot.",I typed the words vorg and pim a lot.,Definitely yes,Yes,Engaging,nothing,18,Female,Yes,No,,p139
4/26/17 9:34,4/26/17 9:38,251,TRUE,4/26/17 9:38,R_2tbCu3DPuh4ZAO0,anonymous,EN,It took a decent amount of practice since the words were assigned to random compass bearings. The words seemed to have no pattern and didn't resemble any English words,"The assignment seemed fairly random. Pim, vorg, and gorm appeared to be the most common. Mog and grah seemed the least common but it was a reasonable distribution for chance",This pattern appeared to be similar to what I saw. See previous answer,Definitely yes,Yes,Somewhat engagin,"If you are looking just at language I would assign the compass bearings to standard north, east, etc. since deciphering the direction was a bit challenging. Having a timer for how long you have to answer would also be helpful.",21,Male,Yes,No,,p138
5/4/17 15:51,5/4/17 15:55,209,TRUE,5/4/17 15:55,R_2scpeHwN3O8kZuL,anonymous,EN,"A little tricky at first. I had to associate them with standard clock directions to help me associate which went where. From there, it got easier.","A few of them were close to one or the other and it was in between two of the directions, so I picked whatever one was shorter",I typed shorter words more often if they were close.,Definitely yes,No,Engaging,Maybe a word bank to start or a clock to show you how many points you're losing by taking extra time.,21,Male,Yes,No,,p140
5/4/17 16:10,5/4/17 16:12,125,TRUE,5/4/17 16:12,R_eWgxiDkGwuPCQlH,anonymous,EN,"It was slightly difficult to remember at first, but it got a lot easier.",I saw some words far more often than others.,"Some words, like mog, I could type without thinking by the end of the game because I knew the direction well and it's easy to type quickly.",Definitely yes,Yes,Engaging,Don't have a direction repeated in the game or the practice.,19,Female,Yes,No,,p141
5/4/17 16:48,5/4/17 16:52,264,TRUE,5/4/17 16:52,R_3Hw4I4GXc9xAfKr,anonymous,EN,"Once I saw them and had to type them out enough, it stuck. It took a while to know them for sure though. I think of myself as a fast learner and am confident that I got all of the directions correct in the final part of the study.","I feel like I saw some words more than others. In the beginning pim, grah, and veek were more common. Towards the end of the game sarp, skod, frabda, and gled were more common",I feel like the word I typed the most was probably grah.,Definitely yes,Yes,Somewhat engagin,"I don't know. The plane background was nice, there wasn't much to distract me from figuring out what the direction was pointing towards. Thinking back now, I probably could have used the elf figure to orient the direction gled... but the game was fine. Kind of boring but that wasn't really the point of the study.",19,Female,Yes,No,,p142
5/4/17 16:51,5/4/17 16:53,146,TRUE,5/4/17 16:54,R_3KouGKZ4LSCTl4G,anonymous,EN,"very repetitive but I dont think i am ever going to forget these words. Grah, Frabda, Gled, Veek, Skod, Pim, Sarp, and Minada in order clockwise. I dont like elves",I saw some words way more often than others. ,I typed words like minada way more than skod and sarp,Definitely yes,Yes,Very boring,"Shorter, i had it after 2 minutes of going around without the hints.",18,Male,Yes,No,,p143
9/23/17 17:54,9/23/17 17:55,48,TRUE,9/23/17 17:55,R_RLwCrLXRh82s3OF,anonymous,EN,Pilot,pilot,pilot,Probably yes,No,,pilot,21,Female,Yes,No,,000 pilot
9/28/17 11:46,9/28/17 11:46,51,TRUE,9/28/17 11:46,R_pEPTYqih9BL5glj,anonymous,EN,hard at the begining,the harder ones apperared more,typed the harder ones more,Definitely yes,Yes,Engaging, ,18,Female,Yes,No,,202
9/28/17 12:22,9/28/17 12:24,115,TRUE,9/28/17 12:24,R_1lbq8qs9jcxnhZN,anonymous,EN,"The language was really complex at first, but, as I practiced, I was more adapted to the language.",minada,,Definitely yes,Yes,Neither boring nor engagin,It may be a little too long.,19,Male,Yes,Yes,Korean,203
9/29/17 14:56,9/29/17 14:59,148,TRUE,9/29/17 14:59,R_1l3vM7NVBVVeh8t,anonymous,EN,kind of weird to learn the new language and remember which direction each word meant, not really ,it seemed like vorg was never really in the experiment I felt like I typed other words a lot more,Definitely not,Yes,Somewhat engagin,make it more visually appealing ,18,Female,Yes,Yes,chinese,205
9/29/17 15:06,9/29/17 15:08,88,TRUE,9/29/17 15:08,R_eloW5NmYjus81bz,anonymous,EN,Hard since you can't relate it to English,Certain ones were repeated more often than others,Misspelled often towards the beginning,Probably yes,Yes,Somewhat engagin,Pictures :),19,Female,Yes,No,,204
9/29/17 15:45,9/29/17 15:48,162,TRUE,9/29/17 15:48,R_1FkAqerP0jWMil0,anonymous,EN,It was fun being challenged in that way. I enjoyed it. ,I didn't notice a great difference in the repetition of certain words of others.,I didn't notice myself typing certain words more often than others by a great degree,Definitely yes,Yes,Engaging,"Less questions, once it was apparent that i knew all the directions the simulation should've ended. ",19,Male,Yes,No,,207
9/29/17 15:53,9/29/17 15:56,165,TRUE,9/29/17 15:56,R_SNqUFAgIiI8hmNz,anonymous,EN,"I tried to compare them to English words, like gorm=dorm (go to bed at gorm), or hoon is close to two (sound similar on the clock).  Yet for some reason gorm kept getting in my head.","I rarely saw veek or clate, it seems, but often saw vorg or hoon.",I typed gorm when I shouldn't have.,Definitely yes,Yes,Boring,Not sure.,19,Male,Yes,No,,206
9/29/17 16:25,9/29/17 16:28,147,TRUE,9/29/17 16:28,R_Zyl9wZkOfCC428p,anonymous,EN,"It was hard at first since these words aren't real English words, but after I got the hang of it, it was easier. It was still a bit difficult with the words that began with the same letter i.e; gorm vs. grah, veek vs. vorg.",I felt like I saw noobda and hoon more often than the others. ,Not sure,Probably yes,Yes,Somewhat boring,I thought that I was going to navigate with an actual elf rather than look at a compass and type the words. ,18,Female,Yes,No,,208
10/3/17 12:43,10/3/17 12:46,172,TRUE,10/3/17 12:46,R_3qr5M3I4fW9wzzk,anonymous,EN,The words were gibberish so it was hard to learn them. They had no meaning to me.,It seemed like certain words popped up more often than others.,It seemed like the same words I saw more often I also typed more often.,Definitely yes,Yes,Somewhat engagin,The compass didn't always point exactly to one direction so it was hard to decide which direction to choose.,18,Male,Yes,No,,209
10/3/17 13:23,10/3/17 13:27,216,TRUE,10/3/17 13:27,R_1jKft1GQCaFSRzn,anonymous,EN,Started off hard to learn just a combination of letters but after a while of practicing it got easy and i became really fast with coming up with answers,Clate and yeen were definitely used more than mog and dak,I typed the ones i got wrong more often i felt like and the ones i knew wasn't very often tested on,Definitely yes,Yes,Somewhat engagin,"Too long, after a while I noticed myself losing interest and my mind wondering causing me to answer some wrong",18,Male,Yes,No,,210
10/3/17 14:09,10/3/17 14:11,117,TRUE,10/3/17 14:11,R_2rTsW0ex4xl5P9I,anonymous,EN,"Very repetitive, but that was the only way to learn it.","Didn't see ""gled"" that much (which is good because I forgot what direction it went) and I saw ""clate"" and ""gorm"" a lot","Typed ""clate"" a lot",Definitely yes,Yes,Boring,"Some new kind of level, it got very boring",18,Male,Yes,No,,212
10/3/17 14:08,10/3/17 14:12,280,TRUE,10/3/17 14:12,R_2pYRDwm7cEwQ25t,anonymous,EN,The words that I practiced more at the beginning were easier remember throughout the game. Once the game started I felt like I lost track of where the original pointer was so I had a hard time deciding which word to choose between the two locations. Then I forgot where the exact original spots of the words were.,"I thought I saw a minada, dak and mog a lot over the course of the game.",I didn't type gorm or clate a lot.,Definitely yes,Yes,Very engaging,,18,Female,Yes,No,,211
10/3/17 14:41,10/3/17 14:46,265,TRUE,10/3/17 14:46,R_10w8zWHZdzUKbW6,anonymous,EN,It was very interesting. I looked at it as almost fun challenge trying to learn the new directions and collect as many coins as I could.,I saw mog and sarp pop up a lot.,"I did not see the direction for hoon pop up as much as gorm, mog, sarp, or clate which popped up most frequently.",Definitely yes,No,Somewhat boring,I would make it shorter and put a specific amount of coins to collect as a goal in order to keep me interested and striving to get the directions right in a prompt manner.,18,Male,Yes,No,,214
10/3/17 14:47,10/3/17 14:48,75,TRUE,10/3/17 14:48,R_2yk1Q08CnJF41zA,anonymous,EN,it was difficult ,i saw some words more than others and remembered those more easily,spelled some correct faster,Probably not,Yes,Boring,easier and less names,18,Female,Yes,No,,213
10/5/17 10:45,10/5/17 10:49,237,TRUE,10/5/17 10:49,R_3GrK3NqGZGqvOB6,anonymous,EN,"It was okay, it was kind of like learning a new language.","I didn't really say the words often, only in the beginning when I was trying to make a mental note of associating one word with a time. Like 5 and sarp.","I got faster and faster at recognizing the words, sometimes i would get carried away and spell it incorrectly, but it made the game easier as it went on.",Definitely yes,Yes,Engaging,"Nothing, maybe in the practice make someone identify yeen and hoon more often, those two were the ones I struggle getting a hold of in the beginning. ",19,Female,Yes,Yes,Kikuyu,216
10/5/17 10:58,10/5/17 11:01,175,TRUE,10/5/17 11:01,R_2QlXtdp8GfMlBvJ,anonymous,EN,"It got to be extremely annoying and repetitive. I felt that I had it down, but then I would forget one and have to start all over ","I saw many of the yeens, noobda, and peka throughout","Certain words like peka were easy at the beginning, but as I neared the end nearly everyone felt like a struggle",Probably not,No,Boring,The names,19,Male,Yes,No,,215
10/5/17 11:29,10/5/17 11:32,169,TRUE,10/5/17 11:32,R_a4aOczd9HDqEHN7,anonymous,EN,At first it was very difficult to remember how to spell all of them and try to remember the location. The only way to learn was to keep practicing...I think it would've been easier to say the words out loud.,"I thought that the words blit, yeen, and dak I saw a lot. I rarely saw veek or vorg.","It was easier to type words like blit, yeen, and dak because there were no other words with the same letter.",Definitely yes,Yes,Somewhat engagin,I would set a limit to the number of points to encourage people to get there faster. My goal was ten thousand and I was hoping once I got there I would be done. Luckily I finished earlier.,18,Female,Yes,No,,217
10/5/17 11:31,10/5/17 11:32,113,TRUE,10/5/17 11:32,R_2Uf8XpSKtlPXNgq,anonymous,EN,"It was a lot like learning words in any other language. If you repeat them enough times, you'll remember them.","I'm pretty sure veek, dak, vorg, and gorm occured most often.",Same as how often I saw them.,Definitely yes,Yes,Engaging,,18,Male,Yes,No,,218
10/5/17 12:18,10/5/17 12:20,112,TRUE,10/5/17 12:20,R_2AEbHRF8pqjF3RC,anonymous,EN,"It was sort of fun. I'd say that the easiest way to learn the names was randomized naming opposed to having to go through the entire ""practice"" phase.","I saw the specific words, if anything, more than I needed to.",I typed words evenly.,Definitely yes,Yes,Engaging,"I would change the game such that you are first given all of the names, then thrown into the simulation (i.e. having to type) with a green or red response and corrected name if wrong.",19,Male,Yes,Yes,Latin,220
10/5/17 12:45,10/5/17 12:49,213,TRUE,10/5/17 12:49,R_1Oy5UOPzXly3P0W,anonymous,EN,"Horrible, I was already bad with directions, but after A LOT of repetition I finally got it! ",There seemed to be an even distribution of words that I saw throughout  ,"Again, it felt pretty even ",Probably yes,Yes,Somewhat boring,"I was stuck ""learning"" the words for so long, I wish there was more colour involved in the game, that might've helped me learn better and have kept me more engaged. ",18,Female,Yes,No,,219
10/9/17 13:32,10/9/17 13:34,142,TRUE,10/9/17 13:34,R_2Wx1vnTTSJsEV5Y,anonymous,EN,It was a little boring. I remembered all of them except for one,"I saw sarp, dak, frabda way more than the other words",Sometimes i had a typo with some of the words and I got it wrong even though I knew the direction. I forgot how to spell the word that started with a v and was northwest,Probably yes,Yes,Boring,I would make a map so you could see where the elves were going and how far away they were from the treasure after each question. ,19,Male,Yes,No,,221
10/9/17 14:05,10/9/17 14:07,158,TRUE,10/9/17 14:07,R_2Yb1COM8FB7lUAd,anonymous,EN,It was hard as first to distinguish directions with the new language but it became easier with practice.,"I felt like I saw ""dak"", ""sarp"" amd ""frabda"" the least and ""gorm"" and ""grah"" the most often.",No.,Definitely yes,Yes,Engaging,More repetition when the learning the words for the first time.,19,Female,Yes,No,,222
